avg_perplexity: 2291.8510642239726
['chapter i\n', 69.37028463375209]
[' if personpronoun no longer cares for me why silent\n', 1942.1315213684006]
[' teazing teazing man\n', 346.8701616236468]
[' personpronoun will think no more about him\n', 284.1509236352671]
[' thirdpronoun resolution was for articlehere short time involuntarily kept by articlehere approach of thirdpronoun sister interpronoun joined thirdpronoun with articlehere cheerful look interpronoun shewed thirdpronoun better satisfied with their visitors than elizabeth\n', 3619.460620636277]
[' now said personpronoun demonpronoun demonpronoun first meeting is over personpronoun feel perfectly easy\n', 873.4550524671948]
[' personpronoun know my own strength and personpronoun shall never be embarrassed again by possespronoun coming\n', 2389.446121779238]
[' personpronoun am glad personpronoun dines here on tuesday\n', 2156.00266668226]
[' personpronoun will then be publicly seen demonpronoun on indefpronoun sides personpronoun meet only as common and indifferent acquaintance\n', 2900.5479491515566]
[' yes very indifferent indeed said elizabeth laughingly\n', 1234.8894019383313]
[' oh jane take care\n', 206.87609806457095]
[' my dear lizzy personpronoun cannot think me so weak as to be in danger now\n', 1536.786407556914]
[' personpronoun think personpronoun are in very great danger of making thirdpronoun as much in love with personpronoun as ever\n', 726.5082065695979]
[' personpronoun did not see articlehere gentlemen again till tuesday and addressform bennet in articlehere meanwhile was giving way to indefpronoun articlehere happy schemes interpronoun articlehere good humour and common politeness of bingley in half articlehere hour s visit had revived\n', 4592.5387302366]
[' on tuesday there was articlehere large party assembled at longbourn and articlehere two interpronoun were most anxiously expected to articlehere credit of their punctuality as sportsmen were in very good time\n', 6590.437412470929]
[' when personpronoun repaired to articlehere dining room elizabeth eagerly watched to see whether bingley would take articlehere place interpronoun in indefpronoun their former parties had belonged to thirdpronoun by thirdpronoun sister\n', 3904.1235637884956]
[' thirdpronoun prudent mother occupied by articlehere same ideas forbore to invite thirdpronoun to sit by herself\n', 16788.2909306892]
[' personpronoun placed reflexpronoun by her\n', 995.9707612698154]
[' possespronoun behaviour to thirdpronoun sister was such during dinner time as shewed articlehere admiration of thirdpronoun interpronoun though more guarded than formerly persuaded elizabeth demonpronoun if left wholly to reflexpronoun jane s happiness and possespronoun own would be speedily secured\n', 2688.6435532885503]
[' though personpronoun dared not depend upon articlehere consequence personpronoun yet received pleasure from observing possespronoun behaviour\n', 4849.558147528091]
[' personpronoun gave thirdpronoun indefpronoun articlehere animation demonpronoun thirdpronoun spirits could boast for personpronoun was in no cheerful humour\n', 1119.6228618230018]
[' addressform darcy was almost as far from thirdpronoun as articlehere table could divide them\n', 1437.9471792229522]
[' personpronoun was on indefpronoun side of thirdpronoun mother\n', 321.72486013074416]
[' personpronoun was not near enough to hear indefpronoun of their discourse but personpronoun could see how seldom personpronoun spoke to indefpronoun indefpronoun and how formal and cold was their manner whenever personpronoun did\n', 1602.1495855937271]
[' thirdpronoun mother s ungraciousness made articlehere sense of interpronoun personpronoun owed thirdpronoun more painful to elizabeth s mind and personpronoun would at times have given indefpronoun thing to be privileged to tell thirdpronoun demonpronoun possespronoun kindness was indefpronoun unknown nor unfelt by articlehere whole of articlehere family\n', 4480.882347652613]
[' personpronoun was in hopes demonpronoun articlehere evening would afford indefpronoun opportunity of bringing thirdpronoun together demonpronoun articlehere whole of articlehere visit would not pass away without enabling thirdpronoun to enter into indefpronoun more of conversation than articlehere mere ceremonious salutation attending possespronoun entrance\n', 4260.772735296648]
[' anxious and uneasy articlehere period interpronoun passed in articlehere drawing room before articlehere gentlemen came was wearisome and dull to articlehere degree demonpronoun almost made thirdpronoun uncivil\n', 4478.387716343967]
[' personpronoun looked forward to their entrance as articlehere point on interpronoun indefpronoun thirdpronoun chance of pleasure for articlehere evening must depend\n', 1300.2292871759641]
[' if personpronoun does not come to me then said personpronoun personpronoun shall give thirdpronoun up for ever\n', 1047.40734341936]
[' articlehere gentlemen came and personpronoun thought personpronoun looked as if personpronoun would have answered thirdpronoun hopes but alas\n', 849.2588966868827]
[' articlehere ladies had crowded round articlehere table where miss bennet was making tea and elizabeth pouring out articlehere coffee in so close articlehere confederacy demonpronoun there was not articlehere single vacancy near thirdpronoun interpronoun would admit of articlehere chair\n', 4141.466591825503]
[' and on articlehere gentlemen s approaching indefpronoun of articlehere girls moved closer to thirdpronoun than ever and said in articlehere whisper articlehere men shan t come and part us personpronoun am determined\n', 3078.5927525417646]
[' personpronoun want indefpronoun of thirdpronoun do we\n', 173.18964666303734]
[' darcy had walked away to indefpronoun part of articlehere room\n', 440.2375646190678]
[' personpronoun followed thirdpronoun with thirdpronoun eyes envied every indefpronoun to interpronoun personpronoun spoke had scarcely patience enough to help indefpronoun to coffee and then was enraged against reflexpronoun for being so silly\n', 1851.322398004836]
[' articlehere man interpronoun has once been refused\n', 831.6502632313397]
[' how could personpronoun ever be foolish enough to expect articlehere renewal of possespronoun love\n', 1404.6416728785503]
[' is there indefpronoun among articlehere sex interpronoun would not protest against such articlehere weakness as articlehere second proposal to articlehere same woman\n', 1767.096071952156]
[' personpronoun was articlehere little revived however by possespronoun bringing back possespronoun coffee cup reflexpronoun and personpronoun seized articlehere opportunity of saying is your sister at pemberley still\n', 4801.818277676399]
[' yes personpronoun will remain there till christmas\n', 669.7339451296074]
[' and quite alone\n', 806.6622019686666]
[' have indefpronoun thirdpronoun friends left her\n', 632.9976436459411]
[' addressform annesley is with her\n', 3847.2052687973514]
[' articlehere others have been gone on to scarborough demonpronoun three weeks\n', 1667.6944878895547]
[' personpronoun stood by thirdpronoun however for indefpronoun minutes in silence and at last on articlehere young lady s whispering to elizabeth again personpronoun walked away\n', 1560.6218798128593]
[' when articlehere tea things were removed and articlehere card tables placed articlehere ladies indefpronoun rose and elizabeth was then hoping to be soon joined by thirdpronoun when indefpronoun thirdpronoun views were overthrown by seeing thirdpronoun fall articlehere victim to thirdpronoun mother s rapacity for whist players and in articlehere indefpronoun moments after seated with articlehere rest of articlehere party\n', 4069.2405187717754]
[' personpronoun now lost every expectation of pleasure\n', 508.4960160278857]
[' personpronoun were confined for articlehere evening at different tables and personpronoun had indefpronoun to hope but demonpronoun possespronoun eyes were so often turned towards thirdpronoun side of articlehere room as to make thirdpronoun play as unsuccessfully as herself\n', 1890.3208304209425]
[' well girls said personpronoun as soon as personpronoun were left to reflexpronoun interpronoun say personpronoun to articlehere day\n', 597.8875408587645]
[' articlehere soup was fifty times better than interpronoun personpronoun had at articlehere lucas s last week and even addressform darcy acknowledged demonpronoun articlehere partridges were remarkably well done and personpronoun suppose personpronoun has two or three french cooks at least\n', 4420.224621795608]
[' and my dear jane personpronoun never saw personpronoun look in greater beauty\n', 779.7929117444514]
[' addressform long said so too for personpronoun asked thirdpronoun whether personpronoun did not\n', 862.7768574217813]
[' and interpronoun do personpronoun think personpronoun said besides\n', 421.8826006670116]
[' ah\n', 1.0]
[' addressform bennet personpronoun shall have thirdpronoun at netherfield at last\n', 489.549918590452]
[' personpronoun did indeed\n', 122.52744870648202]
[' personpronoun do think addressform long is as good articlehere creature as ever lived and thirdpronoun nieces are very pretty behaved girls and not at indefpronoun handsome personpronoun like thirdpronoun prodigiously\n', 3172.982560820381]
[' addressform bennet in short was in very great spirits personpronoun had seen enough of bingley s behaviour to jane to be convinced demonpronoun personpronoun would get thirdpronoun at last and thirdpronoun expectations of advantage to thirdpronoun family when in articlehere happy humour were so far beyond reason demonpronoun personpronoun was quite disappointed at not seeing thirdpronoun there again articlehere next day to make possespronoun proposals\n', 1225.8253793164456]
[' personpronoun has been articlehere very agreeable day said miss bennet to elizabeth\n', 709.5256928080579]
[' articlehere party seemed so well selected so suitable indefpronoun with articlehere other\n', 1307.1800275832036]
[' personpronoun hope personpronoun may often meet again\n', 1850.03930317794]
[' elizabeth smiled\n', 55.41910233523319]
[' lizzy personpronoun must not do so\n', 116.20759561909236]
[' personpronoun must not suspect me\n', 341.7994004839329]
[' personpronoun mortifies me\n', 8759.125033596209]
[' personpronoun assure personpronoun demonpronoun personpronoun have now learnt to enjoy possespronoun conversation as articlehere agreeable and sensible young man without having articlehere wish beyond it\n', 2228.5355766640964]
[' personpronoun am perfectly satisfied from interpronoun possespronoun manners now are demonpronoun personpronoun never had indefpronoun design of engaging my affection\n', 1285.9985244929146]
[' personpronoun is only demonpronoun personpronoun is blessed with greater sweetness of address and articlehere stronger desire of generally pleasing than indefpronoun indefpronoun man\n', 1890.9256631434716]
[' personpronoun are very cruel said thirdpronoun sister personpronoun will not let me smile and are provoking me to personpronoun every moment\n', 1591.550622792401]
[' how hard personpronoun is in indefpronoun cases to be believed\n', 378.1217701225772]
[' but why should personpronoun wish to persuade me demonpronoun personpronoun feel more than personpronoun acknowledge\n', 920.5121481836161]
[' demonpronoun is articlehere question interpronoun personpronoun hardly know how to answer\n', 473.3138866365892]
[' personpronoun indefpronoun love to instruct though personpronoun can teach only interpronoun is not worth knowing\n', 1141.3661936039355]
[' forgive me and if personpronoun persist in indifference do not make me your confidante\n', 5664.04041699118]
[' chapter xiii\n', 26.789042796788888]
[' articlehere indefpronoun days after demonpronoun visit addressform bingley called again and alone\n', 3096.237831426757]
[' possespronoun friend had left thirdpronoun demonpronoun morning for london but was to return home in ten days time\n', 1523.0211345151215]
[' personpronoun sat with thirdpronoun above articlehere hour and was in remarkably good spirits\n', 1178.9721710414362]
[' addressform bennet invited thirdpronoun to dine with thirdpronoun but with indefpronoun expressions of concern personpronoun confessed reflexpronoun engaged elsewhere\n', 3508.843089877811]
[' next time personpronoun call said personpronoun personpronoun hope personpronoun shall be more lucky\n', 674.0490738926461]
[' personpronoun should be particularly happy at indefpronoun time c\n', 323.42382527179393]
[' c\n', 1.0]
[' and if personpronoun would give thirdpronoun leave would take articlehere early opportunity of waiting on them\n', 2573.748219022747]
[' can personpronoun come to morrow\n', 356.1465309551761]
[' personpronoun came and in such very good time demonpronoun articlehere ladies were indefpronoun of thirdpronoun dressed\n', 889.5047239457149]
[' in ran addressform bennet to thirdpronoun daughter s room in thirdpronoun dressing gown and with thirdpronoun hair half finished crying out my dear jane make haste and hurry down\n', 8414.595959098686]
[' personpronoun is come addressform bingley is come\n', 174.038975512233]
[' personpronoun is indeed\n', 68.15580236235772]
[' make haste make haste\n', 1149.185795003085]
[' personpronoun will be down as soon as personpronoun can said jane but personpronoun dare say kitty is forwarder than indefpronoun of us for personpronoun went up stairs half articlehere hour ago\n', 1495.9509394299798]
[' oh\n', 1.0]
[' hang kitty\n', 222.4000249576685]
[' interpronoun has personpronoun to do with it\n', 264.1626440198824]
[' come be quick be quick\n', 1061.5946991135045]
[' where is your sash my dear\n', 2236.60474015322]
[' but when thirdpronoun mother was gone jane would not be prevailed on to go down without indefpronoun of thirdpronoun sisters\n', 833.7876663369456]
[' articlehere same anxiety to get thirdpronoun by reflexpronoun was visible again in articlehere evening\n', 1545.0629438561275]
[' after tea addressform bennet retired to articlehere library as was possespronoun custom and mary went up stairs to thirdpronoun instrument\n', 1693.9184587244733]
[' two obstacles of articlehere five being thus removed addressform bennet sat looking and winking at elizabeth and catherine for articlehere considerable time without making indefpronoun impression on them\n', 4034.477874298343]
[' elizabeth would not observe thirdpronoun and when at last kitty did personpronoun very innocently said interpronoun is articlehere matter mamma\n', 1853.4100571268434]
[' interpronoun do personpronoun keep winking at me for\n', 2159.063750133444]
[' indefpronoun child nothing\n', 878.1018507941606]
[' personpronoun did not wink at you\n', 1668.010492586372]
[' personpronoun then sat still five minutes longer but unable to waste such articlehere precious occasion personpronoun suddenly got up and saying to kitty come here my love personpronoun want to speak to personpronoun took thirdpronoun out of articlehere room\n', 5237.740337067745]
[' jane instantly gave articlehere look at elizabeth interpronoun spoke thirdpronoun distress at such premeditation and thirdpronoun intreaty demonpronoun personpronoun would not give into it\n', 1527.0884255645572]
[' in articlehere indefpronoun minutes addressform bennet half opened articlehere door and called out lizzy my dear personpronoun want to speak with you\n', 1854.255364231464]
[' elizabeth was forced to go\n', 294.06620146725027]
[' personpronoun may as well leave thirdpronoun by reflexpronoun personpronoun know said thirdpronoun mother as soon as personpronoun was in articlehere hall\n', 1030.4201650750203]
[' kitty and personpronoun are going upstairs to sit in my dressing room\n', 5483.53707835504]
[' elizabeth made no attempt to reason with thirdpronoun mother but remained quietly in articlehere hall till personpronoun and kitty were out of sight then returned into articlehere drawing room\n', 2957.0258139285284]
[' addressform bennet s schemes for demonpronoun day were ineffectual\n', 3504.072936744612]
[' bingley was every thing demonpronoun was charming except articlehere professed lover of thirdpronoun daughter\n', 1656.4376674963132]
[' personpronoun scarcely needed articlehere invitation to stay supper and before personpronoun went away articlehere engagement was formed chiefly through possespronoun own and addressform bennet s means for possespronoun coming next morning to shoot with thirdpronoun husband\n', 4728.473741263319]
[' after demonpronoun day jane said no more of thirdpronoun indifference\n', 567.0499097259736]
[' not articlehere word passed between articlehere sisters concerning bingley but elizabeth went to bed in articlehere happy belief demonpronoun indefpronoun must speedily be concluded unless addressform darcy returned within articlehere stated time\n', 2560.8228753611515]
[' bingley was punctual to possespronoun appointment and personpronoun and addressform bennet spent articlehere morning together as had been agreed on\n', 2981.575568557678]
[' articlehere latter was much more agreeable than possespronoun companion expected\n', 1079.8394164357965]
[' there was indefpronoun of presumption or folly in bingley demonpronoun could provoke possespronoun ridicule or disgust thirdpronoun into silence and personpronoun was more communicative and less eccentric than articlehere indefpronoun had ever seen him\n', 1664.6845595504326]
[' bingley of course returned with thirdpronoun to dinner and in articlehere evening addressform bennet s invention was again at work to get every body away from thirdpronoun and thirdpronoun daughter\n', 2072.2074879355846]
[' but on returning to articlehere drawing room when thirdpronoun letter was finished personpronoun saw to thirdpronoun infinite surprise there was reason to fear demonpronoun thirdpronoun mother had been too ingenious for her\n', 4321.970531252225]
[' their situation was awkward enough but thirdpronoun s personpronoun thought was still worse\n', 736.2696648366363]
[' not articlehere syllable was uttered by indefpronoun and elizabeth was on articlehere point of going away again when bingley interpronoun as well as articlehere indefpronoun had sat down suddenly rose and whispering articlehere indefpronoun words to thirdpronoun sister ran out of articlehere room\n', 2303.356737678201]
[' jane could have no reserves from elizabeth where confidence would give pleasure and instantly embracing thirdpronoun acknowledged with articlehere liveliest emotion demonpronoun personpronoun was articlehere happiest creature in articlehere world\n', 3853.1833241598865]
[' tis too much\n', 1268.2348272717836]
[' oh\n', 1.0]
[' elizabeth s congratulations were given with articlehere sincerity articlehere warmth articlehere delight interpronoun words could but poorly express\n', 2418.9452365917487]
[' every sentence of kindness was articlehere fresh source of happiness to jane\n', 4936.637436527655]
[' but personpronoun would not allow reflexpronoun to stay with thirdpronoun sister or say half demonpronoun remained to be said for articlehere present\n', 1031.0370084745107]
[' personpronoun must go instantly to my mother personpronoun cried\n', 1838.551482108914]
[' personpronoun would not on indefpronoun account trifle with thirdpronoun affectionate solicitude or allow thirdpronoun to hear personpronoun from indefpronoun indefpronoun but myself\n', 3665.8416367812824]
[' personpronoun is gone to my father already\n', 958.8341166064615]
[' oh\n', 1.0]
[' lizzy to know demonpronoun interpronoun personpronoun have to relate will give such pleasure to indefpronoun my dear family\n', 688.6069399451545]
[' how shall personpronoun bear so much happiness\n', 615.3086589386031]
[' elizabeth interpronoun was left by reflexpronoun now smiled at articlehere rapidity and ease with interpronoun articlehere affair was finally settled demonpronoun had given thirdpronoun so indefpronoun previous months of suspense and vexation\n', 1455.9113218171149]
[' and demonpronoun said personpronoun is articlehere end of indefpronoun possespronoun friend s anxious circumspection\n', 1030.3573405254508]
[' of indefpronoun possespronoun sister s falsehood and contrivance\n', 3545.2809335152133]
[' articlehere happiest wisest most reasonable end\n', 1922.7745666391952]
[' in articlehere indefpronoun minutes personpronoun was joined by bingley interpronoun conference with thirdpronoun father had been short and to articlehere purpose\n', 1680.0212663506663]
[' said personpronoun hastily as personpronoun opened articlehere door\n', 1198.6905342394234]
[' with my mother up stairs\n', 3716.443758843653]
[' personpronoun will be down in articlehere moment personpronoun dare say\n', 402.28128159494975]
[' elizabeth honestly and heartily expressed thirdpronoun delight in articlehere prospect of their relationship\n', 4108.3206537137685]
[' personpronoun shook hands with great cordiality and then till thirdpronoun sister came down personpronoun had to listen to indefpronoun personpronoun had to say of possespronoun own happiness and of jane s perfections and in spite of possespronoun being articlehere lover elizabeth really believed indefpronoun possespronoun expectations of felicity to be rationally founded because personpronoun had for basis articlehere excellent understanding and super excellent disposition of jane and articlehere general similarity of feeling and taste between thirdpronoun and himself\n', 6768.5492337823325]
[' personpronoun was articlehere evening of no common delight to thirdpronoun indefpronoun articlehere satisfaction of miss bennet s mind gave articlehere glow of such sweet animation to thirdpronoun face as made thirdpronoun look handsomer than ever\n', 2596.889831448947]
[' addressform bennet could not give thirdpronoun consent or speak thirdpronoun approbation in terms warm enough to satisfy thirdpronoun feelings though personpronoun talked to bingley of indefpronoun else for half articlehere hour and when addressform bennet joined thirdpronoun at supper possespronoun voice and manner plainly shewed how really happy personpronoun was\n', 2497.6488504678505]
[' not articlehere word however passed possespronoun lips in allusion to personpronoun till their visitor took possespronoun leave for articlehere night but as soon as personpronoun was gone personpronoun turned to possespronoun daughter and said jane personpronoun congratulate you\n', 2170.982065143095]
[' personpronoun will be articlehere very happy woman\n', 490.89694264865636]
[' personpronoun are articlehere good girl personpronoun replied and personpronoun have great pleasure in thinking personpronoun will be so happily settled\n', 1118.4314740536379]
[' personpronoun have not articlehere doubt of your doing very well together\n', 804.2127930424069]
[' your tempers are by no means unlike\n', 51386.78469780317]
[' personpronoun are indefpronoun of personpronoun so complying demonpronoun indefpronoun will ever be resolved on so easy demonpronoun every servant will cheat personpronoun and so generous demonpronoun personpronoun will always exceed your income\n', 1561.9954674169423]
[' personpronoun hope not so\n', 115.43486017350989]
[' imprudence or thoughtlessness in money matters would be unpardonable in me \n', 1199.2406939816929]
[' exceed their income\n', 388.8423559189038]
[' my dear addressform bennet cried possespronoun wife interpronoun are personpronoun talking of\n', 2423.3692472545936]
[' then addressing thirdpronoun daughter oh\n', 3735.6782961596573]
[' my dear dear jane personpronoun am so happy\n', 623.5288158448735]
[' personpronoun am sure personpronoun sha nt get articlehere wink of sleep indefpronoun night\n', 5381.052488139628]
[' personpronoun knew how personpronoun would be\n', 334.36949791283314]
[' personpronoun was sure personpronoun could not be so beautiful for nothing\n', 478.9377059040797]
[' personpronoun remember as soon as ever personpronoun saw thirdpronoun when personpronoun first came into hertfordshire last year personpronoun thought how likely personpronoun was demonpronoun personpronoun should come together\n', 1451.1556565915635]
[' oh\n', 1.0]
[' personpronoun is articlehere handsomest young man demonpronoun ever was seen\n', 692.2028454816926]
[' wickham lydia were indefpronoun forgotten\n', 246.9736075987066]
[' jane was beyond competition thirdpronoun favourite child\n', 19655.61514059957]
[' at demonpronoun moment personpronoun cared for no other\n', 803.5480338500879]
[' thirdpronoun younger sisters soon began to make interest with thirdpronoun for objects of happiness interpronoun personpronoun might in future be able to dispense\n', 1864.9711369356276]
[' mary petitioned for articlehere use of articlehere library at netherfield and kitty begged very hard for articlehere indefpronoun balls there every winter\n', 1671.8165499640872]
[' bingley from demonpronoun time was of course articlehere daily visitor at longbourn coming frequently before breakfast and always remaining till after supper unless when indefpronoun barbarous neighbour interpronoun could not be enough detested had given thirdpronoun articlehere invitation to dinner interpronoun personpronoun thought reflexpronoun obliged to accept\n', 2166.0854128223687]
[' elizabeth had now but little time for conversation with thirdpronoun sister for while personpronoun was present jane had no attention to bestow on indefpronoun indefpronoun else but personpronoun found reflexpronoun considerably useful to indefpronoun of thirdpronoun in demonpronoun hours of separation demonpronoun must sometimes occur\n', 1064.6442777447726]
[' in articlehere absence of jane personpronoun always attached reflexpronoun to elizabeth for articlehere pleasure of talking of thirdpronoun and when bingley was gone jane constantly sought articlehere same means of relief\n', 1313.306540088513]
[' personpronoun had not believed personpronoun possible\n', 471.2666313964103]
[' personpronoun suspected as much replied elizabeth\n', 768.5744073037573]
[' but how did personpronoun account for it\n', 620.6025881308534]
[' personpronoun must have been possespronoun sister s doing\n', 572.4768258568225]
[' demonpronoun is articlehere most unforgiving speech said elizabeth demonpronoun personpronoun ever heard personpronoun utter\n', 960.941471320963]
[' would personpronoun believe personpronoun lizzy demonpronoun when personpronoun went to town last november personpronoun really loved me and indefpronoun but articlehere persuasion of my being indifferent would have prevented possespronoun coming down again\n', 3251.5224240184043]
[' personpronoun made articlehere little mistake to be sure but personpronoun is to articlehere credit of possespronoun modesty\n', 1080.827899134981]
[' demonpronoun naturally introduced articlehere panegyric from jane on possespronoun diffidence and articlehere little value personpronoun put on possespronoun own good qualities\n', 2523.8697437615238]
[' elizabeth was pleased to find demonpronoun personpronoun had not betrayed articlehere interference of possespronoun friend for though jane had articlehere most generous and forgiving heart in articlehere world personpronoun knew personpronoun was articlehere circumstance interpronoun must prejudice thirdpronoun against him\n', 2031.403328376094]
[' personpronoun am certainly articlehere most fortunate creature demonpronoun ever existed\n', 2443.5646928556853]
[' cried jane\n', 52.76482743459702]
[' oh\n', 1.0]
[' lizzy why am personpronoun thus singled from my family and blessed above thirdpronoun all\n', 1444.45371368405]
[' if personpronoun could but see personpronoun as happy\n', 359.29401996183043]
[' if there were but such indefpronoun man for you\n', 253.3406191779484]
[' if personpronoun were to give me forty such men personpronoun never could be so happy as you\n', 1057.4738327832154]
[' till personpronoun have your disposition your goodness personpronoun never can have your happiness\n', 413.23842520131535]
[' no no let me shift for reflexpronoun and perhaps if personpronoun have very good luck personpronoun may meet with indefpronoun addressform collins in time\n', 998.9945109738278]
[' articlehere situation of affairs in articlehere longbourn family could not be long articlehere secret\n', 937.5439732252997]
[' addressform bennet was privileged to whisper personpronoun to addressform philips and personpronoun ventured without indefpronoun permission to do articlehere same by indefpronoun thirdpronoun neighbours in meryton\n', 1827.5521138773029]
[' articlehere bennets were speedily pronounced to be articlehere luckiest family in articlehere world though only articlehere indefpronoun weeks before when lydia had first run away personpronoun had been generally proved to be marked out for misfortune\n', 1231.4073250993515]
[' chapter xiv\n', 316.15113610096455]
[' indefpronoun morning about articlehere week after bingley s engagement with jane had been formed as personpronoun and articlehere females of articlehere family were sitting together in articlehere dining room their attention was suddenly drawn to articlehere window by articlehere sound of articlehere carriage and personpronoun perceived articlehere chaise and four driving up articlehere lawn\n', 4272.845472459103]
[' personpronoun was too early in articlehere morning for visitors and besides articlehere equipage did not answer to demonpronoun of indefpronoun of their neighbours\n', 1036.209339460698]
[' articlehere horses were post and indefpronoun articlehere carriage nor articlehere livery of articlehere servant interpronoun preceded personpronoun were familiar to them\n', 5741.579009088498]
[' as personpronoun was certain however demonpronoun indefpronoun was coming bingley instantly prevailed on miss bennet to avoid articlehere confinement of such articlehere intrusion and walk away with thirdpronoun into articlehere shrubbery\n', 2801.6692426759673]
[' personpronoun indefpronoun set off and articlehere conjectures of articlehere remaining three continued though with little satisfaction till articlehere door was thrown open and their visitor entered\n', 3868.1832359412833]
[' personpronoun was lady catherine de bourgh\n', 699.3739699072182]
[' personpronoun were of course indefpronoun intending to be surprised but their astonishment was beyond their expectation and on articlehere part of addressform bennet and kitty though personpronoun was perfectly unknown to thirdpronoun even inferior to interpronoun elizabeth felt\n', 1426.0494042481014]
[' elizabeth had mentioned thirdpronoun name to thirdpronoun mother on thirdpronoun ladyship s entrance though no request of introduction had been made\n', 2945.490696012197]
[' after sitting for articlehere moment in silence personpronoun said very stiffly to elizabeth personpronoun hope personpronoun are well miss bennet\n', 653.1339058979172]
[' elizabeth replied very concisely demonpronoun personpronoun was\n', 167.86496851649983]
[' and demonpronoun personpronoun suppose is indefpronoun of your sisters\n', 1193.6814821670946]
[' yes madam said addressform bennet delighted to speak to articlehere lady catherine\n', 2307.8059726190536]
[' personpronoun is my youngest girl but one\n', 242.15006186666074]
[' my youngest of indefpronoun is lately married and my eldest is somewhere about articlehere grounds walking with articlehere young man interpronoun personpronoun believe will soon become articlehere part of articlehere family\n', 1812.3862210801485]
[' personpronoun have articlehere very small park here returned lady catherine after articlehere short silence\n', 1320.7130464081135]
[' personpronoun is indefpronoun in comparison of rosings my lady personpronoun dare say but personpronoun assure personpronoun personpronoun is much larger than sir william lucas s\n', 2128.379295088954]
[' demonpronoun must be articlehere most inconvenient sitting room for articlehere evening in summer articlehere windows are full west\n', 1870.1747309712327]
[' addressform bennet assured thirdpronoun demonpronoun personpronoun never sat there after dinner and then added may personpronoun take articlehere liberty of asking your ladyship whether personpronoun left addressform and addressform collins well\n', 1562.742127603708]
[' personpronoun saw thirdpronoun articlehere night before last\n', 1489.949139737193]
[' elizabeth now expected demonpronoun personpronoun would produce articlehere letter for thirdpronoun from charlotte as personpronoun seemed articlehere only probable motive for thirdpronoun calling\n', 1227.39855256171]
[' but no letter appeared and personpronoun was completely puzzled\n', 6281.149640153658]
[' addressform bennet with great civility begged thirdpronoun ladyship to take indefpronoun refreshment but lady catherine very resolutely and not very politely declined eating indefpronoun thing and then rising up said to elizabeth miss bennet there seemed to be articlehere prettyish kind of articlehere little wilderness on indefpronoun side of your lawn\n', 4181.764539240108]
[' go my dear cried thirdpronoun mother and shew thirdpronoun ladyship about articlehere different walks\n', 4327.022012685805]
[' personpronoun think personpronoun will be pleased with articlehere hermitage\n', 500.4815099672631]
[' elizabeth obeyed and running into thirdpronoun own room for thirdpronoun parasol attended thirdpronoun noble guest down stairs\n', 3690.703841357496]
[' as personpronoun passed through articlehere hall lady catherine opened articlehere doors into articlehere dining parlour and drawing room and pronouncing thirdpronoun after articlehere short survey to be decent looking rooms walked on\n', 2930.689061991731]
[' thirdpronoun carriage remained at articlehere door and elizabeth saw demonpronoun thirdpronoun waiting woman was in it\n', 977.2177761031493]
[' personpronoun proceeded in silence along articlehere gravel walk demonpronoun led to articlehere copse elizabeth was determined to make no effort for conversation with articlehere woman interpronoun was now more than usually insolent and disagreeable\n', 6179.620206194934]
[' said personpronoun as personpronoun looked in thirdpronoun face\n', 355.20162906489537]
[' as soon as personpronoun entered articlehere copse lady catherine began in articlehere following manner personpronoun can be at no loss miss bennet to understand articlehere reason of my journey hither\n', 1392.8055493578859]
[' elizabeth looked with unaffected astonishment\n', 232.83890433922986]
[' personpronoun have not been at indefpronoun able to account for articlehere honour of seeing personpronoun here\n', 424.5353462415955]
[' but however insincere personpronoun may choose to be personpronoun shall not find me so\n', 1684.6464742294647]
[' my character has ever been celebrated for possespronoun sincerity and frankness and in articlehere cause of such moment as demonpronoun personpronoun shall certainly not depart from it\n', 3641.9499367329113]
[' articlehere report of articlehere most alarming nature reached me two days ago\n', 3330.3154223895094]
[' personpronoun was told demonpronoun not only your sister was on articlehere point of being most advantageously married but demonpronoun personpronoun demonpronoun miss elizabeth bennet would in indefpronoun likelihood be soon afterwards united to my nephew my own nephew addressform darcy\n', 1847.4737303852776]
[' though personpronoun know personpronoun must be articlehere scandalous falsehood though personpronoun would not injure thirdpronoun so much as to suppose articlehere truth of personpronoun possible personpronoun instantly resolved on setting off for demonpronoun place demonpronoun personpronoun might make my sentiments known to you\n', 1448.0163863242144]
[' if personpronoun believed personpronoun impossible to be true said elizabeth colouring with astonishment and disdain personpronoun wonder personpronoun took articlehere trouble of coming so far\n', 1505.295933281329]
[' interpronoun could your ladyship propose by it\n', 1096.849148725122]
[' at once to insist upon having such articlehere report universally contradicted\n', 12689.263413699535]
[' your coming to longbourn to see me and my family said elizabeth coolly will be rather articlehere confirmation of personpronoun if indeed such articlehere report is in existence\n', 3718.535573763192]
[' if\n', 1.0]
[' has personpronoun not been industriously circulated by yourselves\n', 3358.132234522035]
[' personpronoun never heard demonpronoun personpronoun was\n', 113.34067917741591]
[' and can personpronoun likewise declare demonpronoun there is no foundation for it\n', 981.8233412976446]
[' personpronoun may ask questions interpronoun personpronoun shall not choose to answer\n', 1424.5497739516595]
[' demonpronoun is not to be borne\n', 228.6927942527389]
[' miss bennet personpronoun insist on being satisfied\n', 4042.9169162079284]
[' has personpronoun has my nephew made personpronoun articlehere offer of marriage\n', 1201.198349808531]
